#Group_id  N_of_members members 
     540        1 791 
     541        1 792 
     542        1 793 
     543        1 794 
     544        6 795 1070 1119 1145 976 977 
     545        1 796 
     546        1 797 
     547        1 800 
     548        1 801 
     549        3 803 828 928 
     550        2 804 818 
     551        1 805 
     552        1 806 
     553        1 807 
     554        1 808 
     555        1 809 
     556        3 811 1143 911 
     557        1 812 
     558        1 813 
     559        1 815 
     560        7 816 817 945 1132 844 845 846 
     561        1 819 
     562        1 820 
     563        2 821 922 
     564        1 822 
     565        1 824 
     566        1 825 
     567        1 826 
     568        1 830 
     569        1 832 
     570        3 836 1267 1268 
     571        6 837 1283 1130 1183 1184 1182 
     572        1 839 
     573        1 840 
     574        1 841 
     575        1 843 
     576        1 847 
     577        1 848 
     578        1 849 
     579        2 850 951 
     580        1 851 
     581        1 854 
     582        3 855 1153 856 
     583        1 857 
     584        2 858 859 
     585        2 860 961 
     586        1 861 
     587        1 866 
     588        1 867 
     589        1 868 
     590        1 869 
     591        1 877 
     592        1 881 
     593        2 882 1024 
     594        1 883 
     595        4 884 1027 1098 1074 
     596        1 887 
     597        1 888 
     598        1 889 
     599        1 891 
     600        1 892 
     601        1 895 
     602        3 896 1099 986 
     603        1 897 
     604        1 898 
     605        1 899 
     606        1 903 
     607        1 906 
     608        1 908 
     609        1 909 
     610        1 910 
     611        1 912 
     612        1 913 
     613        1 914 
     614        1 917 
     615        1 919 
     616        1 920 
     617        7 921 1142 1066 1067 970 971 972 
     618        1 923 
     619        1 924 
     620        1 925 
     621        1 926 
     622        1 929 
     623        1 932 
     624        1 933 
     625        8 934 1109 962 963 964 965 966 967 
     626        2 935 936 
     627        1 937 
     628        1 938 
     629        1 940 
     630        1 941 
     631        1 942 
     632        1 943 
     633        1 944 
     634        1 946 
     635        1 947 
     636        1 948 
     637        1 950 
     638        1 952 
     639        2 953 1044 
     640        2 954 1047 
     641        1 956 
     642        1 957 
     643        1 958 
     644        3 959 1238 1248 
     645        1 960 
     646        1 968 
     647        1 973 
     648        1 974 
     649        1 975 
     650        1 978 
     651        1 979 
     652        2 980 1150 
     653        1 982 
     654        1 983 
     655        1 984 
     656        3 985 1079 1080 
     657        3 987 1138 1139 
     658        5 988 1228 1001 1087 1088 
     659        1 989 
     660        1 990 
     661        1 991 
     662        1 992 
     663        1 994 
     664        1 995 
     665        2 996 1101 
     666        1 997 
     667        1 998 
     668        1 1000 
     669        1 1002 
     670        1 1003 
     671        1 1005 
     672        1 1010 
     673        1 1011 
     674        1 1013 
     675        1 1014 
     676        1 1015 
     677        1 1016 
     678        2 1017 1018 
     679        1 1022 
     680        1 1023 
     681        1 1025 
     682        1 1026 
     683        1 1030 
     684        1 1031 
     685        1 1033 
     686        1 1034 
     687        1 1037 
     688        1 1038 
     689        2 1039 1118 
     690        1 1041 
     691        1 1042 
     692        1 1043 
     693        1 1045 
     694        1 1046 
     695        1 1048 
     696        1 1049 
     697        1 1050 
     698        1 1051 
     699        1 1052 
     700        1 1054 
     701        2 1055 1056 
     702        1 1057 
     703        1 1058 
     704        1 1059 
     705        1 1060 
     706        1 1061 
     707        1 1062 
     708        1 1063 
     709        1 1068 
     710        1 1069 
     711        1 1071 
     712        1 1072 
     713        1 1075 
     714        1 1076 
     715        1 1077 
     716        1 1078 
     717        1 1081 
     718        4 1082 1193 1249 1103 
     719        1 1083 
     720        1 1084 
     721        1 1085 
     722        1 1089 
     723        1 1090 
     724        4 1091 1163 1226 1285 
     725        2 1092 1093 
     726        1 1094 
     727        4 1096 1120 1188 1204 
     728        1 1097 
     729        1 1100 
     730        1 1102 
     731        1 1104 
     732        2 1105 1186 
     733        1 1106 
     734        1 1107 
     735        1 1108 
     736        1 1110 
     737        2 1111 1207 
     738        2 1112 1208 
     739        4 1113 1317 1354 1377 
     740        1 1114 
     741        1 1115 
     742        1 1116 
     743        1 1117 
     744        5 1121 1318 1359 1378 1356 
     745        1 1123 
     746        1 1124 
     747        1 1125 
     748        2 1126 1133 
     749        1 1127 
     750        1 1128 
     751        1 1129 
     752        1 1131 
     753        1 1134 
     754        1 1135 
     755        1 1136 
     756        1 1137 
     757        1 1140 
     758        1 1144 
     759        5 1146 1147 1271 1282 1330 
     760        1 1148 
     761        1 1149 
     762        1 1151 
     763        1 1152 
     764        2 1154 1156 
     765        1 1155 
     766        1 1157 
     767        1 1158 
     768        1 1159 
     769        1 1160 
     770        2 1161 1162 
     771        3 1164 1295 1296 
     772        1 1165 
     773        1 1166 
     774        1 1167 
     775        1 1168 
     776        1 1169 
     777        1 1170 
     778        1 1171 
     779        1 1173 
     780        1 1174 
     781        1 1175 
     782        1 1177 
     783        1 1178 
     784        1 1180 
     785        1 1181 
     786        1 1185 
     787        1 1187 
     788        1 1190 
     789        1 1192 
     790        1 1194 
     791        1 1195 
     792        1 1196 
     793        1 1197 
     794        1 1198 
     795        1 1199 
     796        1 1200 
     797        1 1201 
     798        1 1202 
     799        1 1203 
     800        1 1205 
     801        1 1209 
     802        1 1210 
     803        1 1211 
     804        1 1212 
     805        2 1213 1215 
     806        1 1214 
     807        1 1216 
     808        1 1217 
     809        1 1218 
     810        1 1219 
     811        1 1220 
     812        1 1221 
     813        1 1222 
     814        1 1223 
     815        1 1224 
     816        2 1225 1284 
     817        1 1227 
     818        1 1230 
     819        2 1233 1234 
     820        1 1235 
     821        1 1236 
     822        1 1237 
     823        1 1239 
     824        1 1240 
     825        1 1241 
     826        1 1242 
     827        1 1243 
     828        2 1244 1352 
     829        1 1245 
     830        1 1246 
     831        2 1247 1255 
     832        2 1250 1313 
     833        1 1251 
     834        2 1252 1253 
     835        1 1254 
     836        4 1256 1257 1258 1259 
     837        1 1260 
     838        1 1261 
     839        1 1262 
     840        2 1263 1362 
     841        6 1264 1265 1360 1361 1326 1327 
     842        1 1266 
     843        1 1269 
     844        1 1270 
     845        1 1272 
     846        1 1276 
     847        1 1277 
     848        1 1278 
     849        1 1279 
     850        1 1280 
     851        1 1281 
     852        1 1286 
     853        1 1287 
     854        1 1288 
     855        2 1289 1290 
     856        1 1291 
     857        1 1292 
     858        2 1293 1294 
     859        1 1297 
     860        1 1298 
     861        5 1299 1300 1325 1346 1345 
     862        1 1301 
     863        1 1302 
     864        1 1303 
     865        2 1304 1305 
     866        1 1306 
     867        2 1307 1308 
     868        1 1309 
     869        1 1310 
     870        4 1311 1333 1334 1344 
     871        1 1312 
     872        2 1314 1348 
     873        1 1315 
     874        2 1316 1382 
     875        1 1319 
     876        1 1320 
     877        1 1321 
     878        1 1323 
     879        1 1324 
     880        2 1328 1329 
     881        2 1331 1342 
     882        1 1332 
     883        1 1335 
     884        1 1336 
     885        1 1337 
     886        1 1338 
     887        1 1339 
     888        1 1340 
     889        1 1341 
     890        2 1343 1347 
     891        1 1349 
     892        2 1350 1367 
     893        2 1351 1366 
     894        3 1353 1369 1370 
     895        1 1357 
     896        1 1358 
     897        1 1363 
     898        1 1364 
     899        1 1365 
     900        1 1368 
     901        1 1372 
     902        1 1373 
     903        1 1374 
     904        1 1375 
     905        1 1376 
     906        1 1379 
     907        1 1380 
     908        1 1381 
